Concentration,Generating-Function,Replicate,Saturation,Noise-Profile,Classification,Confidence-Score
08,Step,3,High,Noise 1,Two-state discontinuous transition (green),0.5246077281325042
08,Step,1,High,Noise 2,Two-state discontinuous transition (green),0.8255627396054701
08,Step,2,High,Noise 2,Two-state discontinuous transition (green),0.8544953202519101
08,Step,3,High,Noise 2,Two-state discontinuous transition (green),0.8442151623095014
08,Step,1,High,Noise 3,Two-state discontinuous transition (green),0.916051673809456
08,Step,2,High,Noise 3,Two-state discontinuous transition (green),0.9080628892630362
08,Step,3,High,Noise 3,Two-state discontinuous transition (green),0.9093605652125325
08,Step,1,Low,Noise 1,Two-state discontinuous transition (green),0.5662371731484012
08,Step,2,Low,Noise 1,Two-state discontinuous transition (green),0.5461895765947458
08,Step,3,Low,Noise 1,Two-state discontinuous transition (green),0.5307897348911103
08,Step,1,Low,Noise 2,Two-state discontinuous transition (green),0.8352200534841988
08,Step,2,Low,Noise 2,Two-state discontinuous transition (green),0.8695491861168422
08,Step,3,Low,Noise 2,Two-state discontinuous transition (green),0.8711423213728847
08,Step,1,Low,Noise 3,Two-state discontinuous transition (green),0.9186186736987323
08,Step,2,Low,Noise 3,Two-state discontinuous transition (green),0.9293648941961582
08,Step,3,Low,Noise 3,Two-state discontinuous transition (green),0.9387532160785297
08,Step,1,Uniform 1,Noise 1,Two-state discontinuous transition (green),0.5298593669813786
08,Step,2,Uniform 1,Noise 1,Two-state discontinuous transition (green),0.6099368414826336
08,Step,3,Uniform 1,Noise 1,Two-state discontinuous transition (green),0.5613945736750872
08,Step,1,Uniform 1,Noise 2,Two-state discontinuous transition (green),0.8642442884988463
08,Step,2,Uniform 1,Noise 2,Two-state discontinuous transition (green),0.8315508795172818
08,Step,3,Uniform 1,Noise 2,Two-state discontinuous transition (green),0.85308056576133
08,Step,1,Uniform 1,Noise 3,Two-state discontinuous transition (green),0.8842636055743941
08,Step,2,Uniform 1,Noise 3,Two-state discontinuous transition (green),0.9008247442153169
08,Step,3,Uniform 1,Noise 3,Two-state discontinuous transition (green),0.9266580162291668
10,Step,1,High,Noise 1,Two-state discontinuous transition (green),0.49328683057821177
10,Step,2,High,Noise 1,Two-state discontinuous transition (green),0.43714086306447103
10,Step,3,High,Noise 1,Two-state discontinuous transition (green),0.45551349583292905
10,Step,1,High,Noise 2,Two-state discontinuous transition (green),0.6005099776415032
10,Step,2,High,Noise 2,Two-state discontinuous transition (green),0.629701930827736
10,Step,3,High,Noise 2,Two-state discontinuous transition (green),0.7121884495980693
10,Step,1,High,Noise 3,Two-state discontinuous transition (green),0.40797461885903097
10,Step,2,High,Noise 3,Two-state discontinuous transition (green),0.44689305717574057
10,Step,3,High,Noise 3,Two-state discontinuous transition (green),0.40127471897459527
10,Step,1,Low,Noise 1,Two-state discontinuous transition (green),0.510572122724707
10,Step,2,Low,Noise 1,Two-state discontinuous transition (green),0.412005750630273
10,Step,3,Low,Noise 1,Two-state discontinuous transition (green),0.4080506656537603
10,Step,1,Low,Noise 2,Two-state discontinuous transition (green),0.6283837043013049
10,Step,2,Low,Noise 2,Two-state discontinuous transition (green),0.5086270302054013
10,Step,3,Low,Noise 2,Two-state discontinuous transition (green),0.45917313908485086
10,Step,1,Low,Noise 3,Two-state discontinuous transition (green),0.3999770649257086
10,Step,2,Low,Noise 3,Two-state discontinuous transition (green),0.3882484094816534
10,Step,3,Low,Noise 3,Two-state discontinuous transition (green),0.5235746441018111
10,Step,1,Uniform 2,Noise 1,Two-state discontinuous transition (green),0.5145745954264891
10,Step,2,Uniform 2,Noise 1,Two-state discontinuous transition (green),0.4440363499940632
10,Step,3,Uniform 2,Noise 1,Two-state discontinuous transition (green),0.33104399040994104
10,Step,1,Uniform 2,Noise 2,Two-state discontinuous transition (green),0.5657560136467374
10,Step,2,Uniform 2,Noise 2,Two-state discontinuous transition (green),0.4454839905904124
10,Step,3,Uniform 2,Noise 2,Two-state discontinuous transition (green),0.7761501793941097
10,Step,1,Uniform 2,Noise 3,Two-state discontinuous transition (green),0.46370448556706206
10,Step,2,Uniform 2,Noise 3,Two-state discontinuous transition (green),0.46251174861423816
10,Step,3,Uniform 2,Noise 3,Two-state discontinuous transition (green),0.5199520649500378
12,Step,1,Uniform 2,Noise 1,No assembly at all expression levels (blue),0.999829871118029
12,Step,2,Uniform 2,Noise 1,No assembly at all expression levels (blue),1.0
12,Step,3,Uniform 2,Noise 1,No assembly at all expression levels (blue),0.9999142212381821
12,Step,1,Uniform 2,Noise 2,No assembly at all expression levels (blue),1.0
12,Step,2,Uniform 2,Noise 2,No assembly at all expression levels (blue),0.9999397644433025
12,Step,3,Uniform 2,Noise 2,No assembly at all expression levels (blue),1.0
12,Step,1,Uniform 2,Noise 3,Higher order state transition (magenta),0.004493823248841906
12,Step,2,Uniform 2,Noise 3,No assembly at all expression levels (blue),1.0
12,Step,3,Uniform 2,Noise 3,No assembly at all expression levels (blue),1.0
